user_id,started_at,finished_at,longitude,latitude,location_id,location_longitude,location_latitude,purpose
72355,2012-04-15 14:15:38+10:00,2012-04-16 21:52:00+10:00,151.177364,-33.935098,0,151.177364,-33.935098,
72355,2012-04-16 21:52:00+10:00,2012-04-17 19:25:48+10:00,144.962626,-37.810089,1,144.962626,-37.810089,
72355,2012-04-17 19:25:48+10:00,2012-04-19 16:49:55+10:00,145.162524,-37.879578,2,145.162524,-37.879578,
72355,2012-04-19 16:49:55+10:00,2012-04-19 20:36:47+10:00,144.965104,-37.808818,3,144.965104,-37.808818,
72355,2012-04-19 20:36:47+10:00,2012-04-20 13:25:14+10:00,144.962626,-37.810089,1,144.962626,-37.810089,
72355,2012-04-20 13:25:14+10:00,2012-04-20 15:56:08+10:00,144.956069,-37.814067,4,144.956069,-37.814067,
72355,2012-04-20 15:56:08+10:00,2012-04-20 17:07:39+10:00,144.967057,-37.818336,5,144.967057,-37.818336,
72355,2012-04-20 17:07:39+10:00,2012-04-22 19:03:41+10:00,145.143102,-37.878203,6,145.143102,-37.878203,home
72355,2012-04-22 19:03:41+10:00,2012-04-22 20:47:33+10:00,145.06869,-37.853183,7,145.06869,-37.853183,
72355,2012-04-22 20:47:33+10:00,2012-04-23 08:54:18+10:00,145.082853,-37.885337,8,145.082853,-37.885337,
72355,2012-04-23 08:54:18+10:00,2012-04-23 09:35:25+10:00,144.963192,-37.810429,9,144.963192,-37.810429,
72355,2012-04-23 09:35:25+10:00,2012-04-23 19:45:54+10:00,144.96475,-37.810259,10,144.96475,-37.810259,
72355,2012-04-23 19:45:54+10:00,2012-04-29 11:04:54+10:00,144.96575,-37.807327,11,144.96575,-37.807327,
72355,2012-04-29 11:04:54+10:00,2012-05-03 19:13:26+10:00,145.082617,-37.885354,12,145.082617,-37.885354,
72355,2012-05-03 19:13:26+10:00,2012-05-05 09:55:53+10:00,144.992619,-37.824937,13,144.992619,-37.824937,
72355,2012-05-05 09:55:53+10:00,2012-05-11 20:35:44+10:00,144.971028,-37.811464,14,144.971028,-37.811464,
72355,2012-05-11 20:35:44+10:00,2012-05-12 12:52:49+10:00,144.966451,-37.814803,15,144.966451,-37.814803,
72355,2012-05-12 12:52:49+10:00,2012-05-12 15:11:55+10:00,144.964299,-37.809987,16,144.964299,-37.809987,
72355,2012-05-12 15:11:55+10:00,2012-05-13 15:18:58+10:00,144.97315,-37.811394,17,144.97315,-37.811394,
72355,2012-05-13 15:18:58+10:00,2012-05-13 19:19:34+10:00,144.9658,-37.815573,18,144.9658,-37.815573,
72355,2012-05-13 19:19:34+10:00,2012-05-15 19:04:01+10:00,145.146435,-37.887012,19,145.146435,-37.887012,
72355,2012-05-15 19:04:01+10:00,2012-05-17 16:00:40+10:00,144.962626,-37.810089,1,144.962626,-37.810089,
72355,2012-05-17 16:00:40+10:00,2012-05-17 20:16:06+10:00,144.965104,-37.808818,3,144.965104,-37.808818,
72355,2012-05-17 20:16:06+10:00,2012-05-27 17:42:57+10:00,144.962626,-37.810089,1,144.962626,-37.810089,
72355,2012-05-27 17:42:57+10:00,2012-05-30 18:01:10+10:00,145.065877,-37.852102,20,145.065877,-37.852102,
72355,2012-05-30 18:01:10+10:00,2012-06-01 22:26:37+10:00,144.96601,-37.816864,21,144.96601,-37.816864,
72355,2012-06-01 22:26:37+10:00,2012-06-05 07:54:51+10:00,144.952669,-37.818429,22,144.952669,-37.818429,
72355,2012-06-05 07:54:51+10:00,2012-06-05 08:59:07+10:00,145.149448,-37.876423,23,145.149448,-37.876423,
72355,2012-06-05 08:59:07+10:00,2012-06-07 18:16:51+10:00,144.993502,-37.869279,24,144.993502,-37.869279,
72355,2012-06-07 18:16:51+10:00,2012-06-10 23:02:23+10:00,144.967078,-37.817539,25,144.967078,-37.817539,
72355,2012-06-10 23:02:23+10:00,2012-06-12 11:34:48+10:00,144.967783,-37.798103,26,144.967783,-37.798103,
72355,2012-06-12 11:34:48+10:00,2012-06-17 17:43:04+10:00,144.967783,-37.798103,26,144.967783,-37.798103,
72355,2012-06-17 17:43:04+10:00,2012-06-18 09:02:56+10:00,144.990306,-37.824557,27,144.990306,-37.824557,
72355,2012-06-18 09:02:56+10:00,2012-07-04 21:44:39+10:00,144.96475,-37.810259,10,144.96475,-37.810259,
72355,2012-07-04 21:44:39+10:00,2012-07-06 14:10:33+10:00,144.978764,-37.796596,28,144.978764,-37.796596,
72355,2012-07-06 14:10:33+10:00,2012-07-08 14:24:28+10:00,145.164479,-37.856418,29,145.164479,-37.856418,
72355,2012-07-08 14:24:28+10:00,2012-07-24 19:57:06+10:00,145.083475,-37.886506,30,145.083475,-37.886506,
72355,2012-07-24 19:57:06+10:00,2012-07-29 20:18:58+10:00,144.992619,-37.824937,13,144.992619,-37.824937,
72355,2012-07-29 20:18:58+10:00,2012-12-05 11:42:43+11:00,144.992619,-37.824937,13,144.992619,-37.824937,
72355,2012-12-05 11:42:43+11:00,2012-12-05 19:08:27+11:00,144.96475,-37.810259,10,144.96475,-37.810259,
72355,2012-12-05 19:08:27+11:00,2012-12-06 16:19:52+11:00,145.143102,-37.878203,6,145.143102,-37.878203,home
72355,2012-12-06 16:19:52+11:00,2012-12-06 16:59:39+11:00,145.149448,-37.876423,23,145.149448,-37.876423,
72355,2012-12-06 16:59:39+11:00,2012-12-06 22:07:27+11:00,145.243592,-37.869619,31,145.243592,-37.869619,
